Title,Creator,AgeRecommendation,Active,Favorites,Visits,VoiceChat,Camera,Created,Updated,ServerSize,Genre,Likes,Dislikes,YearsSinceCreation,Ratio_Likes,Ratio_Dislikes
Escape The Carnival of Terror Obby! ,PlatinumFalls,All Ages,2236,636314,863400000.0,0,0,2020-12-29,2024-07-10,10,Obby & Platformer,95000.0,78000.0,4,0.5491329479768786,0.4508670520231214
ESCAPE THE PLAYGROUND OBBY!,1Tiiger Studio,All Ages,467,29221,12200000.0,0,0,2023-05-17,2024-11-07,15,Obby & Platformer,3675.0,3258.0,1,0.5300735612289053,0.46992643877109475
Every Click +1 Jump 🚀,lol games..,All Ages,878,1173647,11400000.0,0,0,2024-08-03,2024-11-03,15,Simulation,15000.0,972.0,0,0.9391435011269722,0.0608564988730278
Every Click +1 Speed ⚡,lol games..,All Ages,931,2398751,21800000.0,0,0,2024-08-03,2024-11-03,15,Simulation,17000.0,1671.0,0,0.9105029189652402,0.08949708103475984
Every Second You Get +1 Speed But You’re On a Bike,lol games..,All Ages,894,3917306,128199999.99999999,0,0,2024-02-19,2024-11-03,15,Simulation,130000.0,9952.0,0,0.9288899051103235,0.07111009488967646
Evolution Simulator,Evolutionary Fans,All Ages,85,13379,2900000.0,0,0,2024-07-03,2024-10-17,11,Simulation,7153.0,2322.0,0,0.7549340369393139,0.24506596306068607
Fall in a Hole!,Sun Day Studios,All Ages,158,31128,32100000.0,0,0,2023-04-02,2024-03-31,20,Simulation,82000.0,3902.0,1,0.9545761449093153,0.045423855090684695
Family Life 🏠 RP,Big World Creative,All Ages,460,119143,186800000.0,0,0,2022-11-16,2024-11-08,20,Roleplay & Avatar Sim,49000.0,7522.0,2,0.8669190757581119,0.1330809242418881
Fantasia 👑,sheki studio,All Ages,1450,1826158,248700000.0,0,0,2021-10-19,2024-10-20,40,Roleplay & Avatar Sim,156000.0,15000.0,3,0.9122807017543859,0.08771929824561409
Farming and Friends,Dunn Games,All Ages,1598,542056,145800000.0,0,0,2019-01-22,2024-11-06,8,Simulation,190000.0,28000.0,5,0.8715596330275229,0.12844036697247707
Feed Or Get Eaten By Noob!,TestGroup158,All Ages,321,242,722200.0,0,0,2024-10-15,2024-11-08,25,Simulation,46.0,35.0,0,0.5679012345679012,0.4320987654320988
Field Trip Z,Splitting Point Studios,All Ages,1723,1672990,1000000000.0,0,0,2020-04-28,2023-11-13,43,Adventure,314000.0,90000.0,3,0.7772277227722773,0.22277227722772275
Figure's Library,RakeV8,Ages 9+,588,12013,10900000.0,0,0,2023-01-23,2024-11-12,12,Survival,6397.0,3379.0,1,0.6543576104746317,0.3456423895253683
Final Stand,SnakeWorl,Ages 9+,629,1542821,488100000.0,0,0,2016-11-02,2024-06-11,26,RPG,536000.0,60000.0,8,0.8993288590604027,0.10067114093959728
Find Portals! 🌀,Crazay Studios,All Ages,102,437671,2600000.0,0,0,2024-09-29,2024-11-06,12,Simulation,411.0,346.0,0,0.5429326287978864,0.4570673712021136
Find Switches! 🔍,PlayWave Studios,All Ages,175,456197,3000000.0,0,0,2024-09-28,2024-11-02,50,Simulation,1212.0,443.0,0,0.7323262839879154,0.26767371601208456
Find The Football Clubs (130),TRB Games,All Ages,170,489660,7700000.0,0,0,2024-06-30,2024-11-13,25,Adventure,21000.0,876.0,0,0.9599561162918266,0.040043883708173356
Find The Simpsons [263],Tem Production,All Ages,613,178401,113000000.0,0,0,2022-08-27,2024-06-07,30,Adventure,66000.0,4994.0,2,0.9296560272699101,0.07034397273008985
